Using graph /home/subhajit/data/email-Eu-core-temporal.txt ...
Temporal edges: 332335
order: 159316 size: 596933 {} [00964.484 ms; buffer=2] readSnapTemporal
order: 159316 size: 596933 {} [00094.972 ms; buffer=2] transposeWithDegree
order: 159316 size: 596933 {} [00965.986 ms; buffer=4] readSnapTemporal
order: 159316 size: 596933 {} [00092.212 ms; buffer=4] transposeWithDegree
order: 159316 size: 596933 {} [00973.550 ms; buffer=8] readSnapTemporal
order: 159316 size: 596933 {} [00107.385 ms; buffer=8] transposeWithDegree
order: 159316 size: 596933 {} [00985.030 ms; buffer=16] readSnapTemporal
order: 159316 size: 596933 {} [00128.510 ms; buffer=16] transposeWithDegree
order: 159316 size: 596933 {} [01013.953 ms; buffer=32] readSnapTemporal
order: 159316 size: 596933 {} [00165.754 ms; buffer=32] transposeWithDegree
order: 159316 size: 596933 {} [01087.721 ms; buffer=64] readSnapTemporal
order: 159316 size: 596933 {} [00245.616 ms; buffer=64] transposeWithDegree
order: 159316 size: 596933 {} [01189.213 ms; buffer=128] readSnapTemporal
order: 159316 size: 596933 {} [00409.935 ms; buffer=128] transposeWithDegree
order: 159316 size: 596933 {} [01447.982 ms; buffer=256] readSnapTemporal
order: 159316 size: 596933 {} [00675.442 ms; buffer=256] transposeWithDegree
order: 159316 size: 596933 {} [01873.472 ms; buffer=512] readSnapTemporal
order: 159316 size: 596933 {} [01181.347 ms; buffer=512] transposeWithDegree
order: 159316 size: 596933 {} [02418.500 ms; buffer=1024] readSnapTemporal
order: 159316 size: 596933 {} [01928.527 ms; buffer=1024] transposeWithDegree
order: 159316 size: 596933 {} [04067.039 ms; buffer=2048] readSnapTemporal
order: 159316 size: 596933 {} [04193.183 ms; buffer=2048] transposeWithDegree
order: 159316 size: 596933 {} [07595.580 ms; buffer=4096] readSnapTemporal
order: 159316 size: 596933 {} [08351.631 ms; buffer=4096] transposeWithDegree

Using graph /home/subhajit/data/sx-superuser.txt ...
Temporal edges: 1443340
order: 194085 size: 924886 {} [01624.395 ms; buffer=1] readSnapTemporal
order: 194085 size: 924886 {} [00166.152 ms; buffer=1] transposeWithDegree
order: 194085 size: 924886 {} [01603.708 ms; buffer=2] readSnapTemporal
order: 194085 size: 924886 {} [00157.249 ms; buffer=2] transposeWithDegree
order: 194085 size: 924886 {} [01597.837 ms; buffer=4] readSnapTemporal
order: 194085 size: 924886 {} [00156.502 ms; buffer=4] transposeWithDegree
order: 194085 size: 924886 {} [01604.164 ms; buffer=8] readSnapTemporal
order: 194085 size: 924886 {} [00171.164 ms; buffer=8] transposeWithDegree
order: 194085 size: 924886 {} [01633.606 ms; buffer=16] readSnapTemporal
order: 194085 size: 924886 {} [00202.688 ms; buffer=16] transposeWithDegree
order: 194085 size: 924886 {} [01658.625 ms; buffer=32] readSnapTemporal
order: 194085 size: 924886 {} [00255.784 ms; buffer=32] transposeWithDegree
order: 194085 size: 924886 {} [01753.927 ms; buffer=64] readSnapTemporal
order: 194085 size: 924886 {} [00356.802 ms; buffer=64] transposeWithDegree
order: 194085 size: 924886 {} [01892.331 ms; buffer=128] readSnapTemporal
order: 194085 size: 924886 {} [00546.013 ms; buffer=128] transposeWithDegree
order: 194085 size: 924886 {} [02243.498 ms; buffer=256] readSnapTemporal
order: 194085 size: 924886 {} [00908.109 ms; buffer=256] transposeWithDegree
