graph,order,size,batch_size,technique,time
"sx-askubuntu","159316","596933","5000","readSnapTemporal [sorted]","5.3323564356435655"
"sx-askubuntu","159316","596933","5000","readSnapTemporal [unsorted]","5.641386138613862"
"sx-askubuntu","159316","596933","5000","transposeWithDegree [sorted]","89.3561188118812"
"sx-askubuntu","159316","596933","5000","transposeWithDegree [unsorted]","132.64743564356436"
"sx-askubuntu","159316","596933","10000","readSnapTemporal [sorted]","10.29127551020408"
"sx-askubuntu","159316","596933","10000","readSnapTemporal [unsorted]","10.979744897959186"
"sx-askubuntu","159316","596933","10000","transposeWithDegree [sorted]","92.69979381443297"
"sx-askubuntu","159316","596933","10000","transposeWithDegree [unsorted]","136.41840206185563"
"sx-askubuntu","159316","596933","50000","readSnapTemporal [sorted]","47.111714285714285"
"sx-askubuntu","159316","596933","50000","readSnapTemporal [unsorted]","50.24995238095237"
"sx-askubuntu","159316","596933","50000","transposeWithDegree [sorted]","90.81604999999999"
"sx-askubuntu","159316","596933","50000","transposeWithDegree [unsorted]","138.25300000000001"
"sx-askubuntu","159316","596933","100000","readSnapTemporal [sorted]","89.825"
"sx-askubuntu","159316","596933","100000","readSnapTemporal [unsorted]","96.19918181818183"
"sx-askubuntu","159316","596933","100000","transposeWithDegree [sorted]","97.5801"
"sx-askubuntu","159316","596933","100000","transposeWithDegree [unsorted]","148.1542"
"sx-askubuntu","159316","596933","500000","readSnapTemporal [sorted]","329.23900000000003"
"sx-askubuntu","159316","596933","500000","readSnapTemporal [unsorted]","352.5596666666666"
"sx-askubuntu","159316","596933","500000","transposeWithDegree [sorted]","124.212"
"sx-askubuntu","159316","596933","500000","transposeWithDegree [unsorted]","198.0815"
"sx-superuser","194085","924886","1000","readSnapTemporal [sorted]","1.2795643564356438"
"sx-superuser","194085","924886","1000","readSnapTemporal [unsorted]","1.3436138613861384"
"sx-superuser","194085","924886","1000","transposeWithDegree [sorted]","139.1539603960396"
"sx-superuser","194085","924886","1000","transposeWithDegree [unsorted]","233.64286138613855"
"sx-superuser","194085","924886","5000","readSnapTemporal [sorted]","5.501237623762377"
"sx-superuser","194085","924886","5000","readSnapTemporal [unsorted]","6.197752475247524"
"sx-superuser","194085","924886","5000","transposeWithDegree [sorted]","139.29801980198025"
"sx-superuser","194085","924886","5000","transposeWithDegree [unsorted]","234.73852475247517"
"sx-superuser","194085","924886","10000","readSnapTemporal [sorted]","10.782683168316835"
"sx-superuser","194085","924886","10000","readSnapTemporal [unsorted]","12.395544554455448"
"sx-superuser","194085","924886","10000","transposeWithDegree [sorted]","142.5262178217822"
"sx-superuser","194085","924886","10000","transposeWithDegree [unsorted]","240.553891089109"
"sx-superuser","194085","924886","50000","readSnapTemporal [sorted]","51.4555"
"sx-superuser","194085","924886","50000","readSnapTemporal [unsorted]","59.46713333333333"
"sx-superuser","194085","924886","50000","transposeWithDegree [sorted]","145.67182758620692"
"sx-superuser","194085","924886","50000","transposeWithDegree [unsorted]","244.53444827586208"
